"","type","name","n","reportdate"
"85","Self-Propelled Artillery ","152mm 2S19 Msta-S",16,2022-03-14
"86","Multiple Rocket Launchers ","122mm BM-21 'Grad'",19,2022-03-14
"87","Multiple Rocket Launchers ","220mm BM-27 'Uragan'",2,2022-03-14
"88","Multiple Rocket Launchers ","122mm 2B17 Tornado-G",1,2022-03-14
"89","Multiple Rocket Launchers ","220mm TOS-1A",1,2022-03-14
"90","Anti-Aircraft Guns ","23mm ZU-23",2,2022-03-14
"91","Self-Propelled Anti-Aircraft Guns ","BTR-ZD 'Skrezhet'",1,2022-03-14
"92","Self-Propelled Anti-Aircraft Guns ","2K22M1 Tunguska",8,2022-03-14
"93","Surface-To-Air Missile Systems  ","9K33 Osa",6,2022-03-14
"94","Surface-To-Air Missile Systems  ","9K35 Strela-10",4,2022-03-14
"95","Surface-To-Air Missile Systems  ","9A310M1 TELAR",2,2022-03-14
"96","Surface-To-Air Missile Systems  ","9A39M1 TEL",1,2022-03-14
"97","Surface-To-Air Missile Systems  ","9A310M2 TELAR",3,2022-03-14
"98","Surface-To-Air Missile Systems  ","9A39M2 TEL",1,2022-03-14
"99","Surface-To-Air Missile Systems  ","9A330 Tor TLAR",3,2022-03-14
"100","Surface-To-Air Missile Systems  ","9A331 TLAR",3,2022-03-14
"101","Surface-To-Air Missile Systems  ","9A331M TLAR",2,2022-03-14
"102","Surface-To-Air Missile Systems  ","Pantsir-S1",5,2022-03-14
"103","Radars  ","9S18<U+041C>1",1,2022-03-14
"104","Jammers And Deception Systems  ","R-330BMV Borisoglebsk-2B",2,2022-03-14
"105","Aircraft ","Su-25 close air support aircraft",6,2022-03-14
"106","Aircraft ","Su-30SM multirole aircraft",2,2022-03-14
"107","Aircraft ","Su-34 strike aircraft",4,2022-03-14
"108","Aircraft ","An-26 transport aircraft",1,2022-03-14
"109","Unmanned Aerial Vehicles ","Forpost reconnaissance UAV",1,2022-03-14
"110","Unmanned Aerial Vehicles ","Orlan-10 reconnaissance UAV",2,2022-03-14
"111","Unmanned Aerial Vehicles ","Eleron-3 reconnaissance UAV",2,2022-03-14
"112","Unmanned Aerial Vehicles ","ZALA Aero KUB-BLA loitering munition",1,2022-03-14
"113","Unmanned Aerial Vehicles ","E95M target drone",1,2022-03-14
"114","Helicopters ","Mi-8 transport helicopter",3,2022-03-14
"115","Helicopters ","Mi-24V/P attack helicopter",2,2022-03-14
"116","Helicopters ","Mi-35M attack helicopter",2,2022-03-14
"117","Helicopters ","Unknown Mi-24/35 attack helicopter",3,2022-03-14
"118","Helicopters ","Mi-28 attack helicopter",1,2022-03-14
"119","Helicopters ","Ka-52 'Alligator' attack helicopter",4,2022-03-14
"120","Logistics Trains ","Fuel train",2,2022-03-14
"121","Trucks, Vehicles and Jeeps ","GAZ-66",4,2022-03-14
"122","Trucks, Vehicles and Jeeps ","ZiL-131",4,2022-03-14
"123","Trucks, Vehicles and Jeeps ","9T452 transporter-loader",1,2022-03-14
"124","Trucks, Vehicles and Jeeps ","9T217 transloader",2,2022-03-14
"125","Trucks, Vehicles and Jeeps ","GAZ-3308",2,2022-03-14
"126","Trucks, Vehicles and Jeeps ","GAZ Sobol",2,2022-03-14
"127","Trucks, Vehicles and Jeeps ","Ural-4320",116,2022-03-14
"128","Trucks, Vehicles and Jeeps ","Ural-43206",19,2022-03-14
"129","Trucks, Vehicles and Jeeps ","Ural Federal",4,2022-03-14
"130","Trucks, Vehicles and Jeeps ","Ural-542301 tank transporter",1,2022-03-14
"131","Trucks, Vehicles and Jeeps ","KamAZ 4x4",2,2022-03-14
"132","Trucks, Vehicles and Jeeps ","KamAZ 6x6",162,2022-03-14
"133","Trucks, Vehicles and Jeeps ","KamAZ Avtozaks",4,2022-03-14
"134","Trucks, Vehicles and Jeeps ","KamAZ with armoured cabin",3,2022-03-14
"135","Trucks, Vehicles and Jeeps ","KamAZ-6350 8x8 artillery tractor",4,2022-03-14
"136","Trucks, Vehicles and Jeeps ","UAZ-469",2,2022-03-14
"137","Trucks, Vehicles and Jeeps ","UAZ Patriot",1,2022-03-14
"138","Trucks, Vehicles and Jeeps ","UAZ-23632",2,2022-03-14
"139","Trucks, Vehicles and Jeeps ","Armoured SUV",1,2022-03-14
"140","Trucks, Vehicles and Jeeps ","Unknown truck",42,2022-03-14
"141","Trucks, Vehicles and Jeeps "," vehicle",21,2022-03-14
